CUSTOMER,DESTINATION,STORE,DC,NAME
Saks Off Fifth,ELLENTON  #725,725,9999,
Saks Off Fifth,SAWGRASS - # 733,733,9999,
Saks Off Fifth,DEER PARK - #734,734,9999,
Saks Off Fifth,ST. AUGUSTINE - # 737,737,9999,
Saks Off Fifth,DALLAS - #738,738,9999,
Saks Off Fifth,SAN ANTONIO - #739,739,9999,
Saks Off Fifth,CAMARILLO - # 754,754,9999,
Saks Off Fifth,NASHVILLE #759,759,9999,
Saks Off Fifth,ORLANDO II (VINELAND) #770,770,9999,
Saks Off Fifth,NORTHBROOK #780,780,9999,
Saks Off Fifth,ORLANDO - #81,781,9999,
Saks Off Fifth,PITTSBURGH - #781,781,9999,
Saks Off Fifth,PORTLAND - #782,782,9999,
Saks Off Fifth,MILPITAS - # 83,783,9999,
Saks Off Fifth,CHARLESTON #784,784,9999,
Saks Off Fifth,HILTON HEAD #785,785,9999,
Saks Off Fifth,NR NORTH SAN DIEGO - #813,813,9999,
Bloomingdale's,BLM - NEW YORK - 59th STREET - STORE #1,1,SF,59th St. - New York
Bloomingdale's,BLM - BOCA RATON - STORE# 2,2,SF,Boca Raton
Bloomingdale's,BLM - AVENTURA - STORE# 3,3,SF,Aventura
Bloomingdale's,BLM - WALT WHITMAN / HUNTINGTON - STORE# 4,4,SF,Huntington
Bloomingdale's,BERGEN,5,SF,Bergen County - Riverside
Bloomingdale's,BLM - BERGEN - STORE# 5,5,SF,Bergen County - Riverside
Bloomingdale's,BLM - SHORT HILLS - STORE# 6,6,SF,Short Hills
Bloomingdale's,NORTH MICHIGAN,8,SF,North Michigan
Bloomingdale's,BLM - PALM BEACH GARDENS - STORE# 10,10,SF,Palm Beach Gardens
Bloomingdale's,BLM - CHESTNUT HILL - STORE# 11,11,SF,Chestnut Hill I & II
Bloomingdale's,BLM - WHITE PLAINS - STORE# 12,12,SF,White Plains
Bloomingdale's,TYSON'S CORNER - #14,14,SF,Tysons Corner Flint
Bloomingdale's,BLM - KING OF PRUSSIA - STORE# 16,16,SF,King Of Prussia
Bloomingdale's,KING OF PRUSSIA - STORE# 16,16,SF,King Of Prussia
Bloomingdale's,BLM - WILLOW GROVE - STORE# 17,17,SF,Willow Grove Park
Bloomingdale's,BLM - SAN FRANCISCO - STORE# 22,22,SF,San Francisco
Bloomingdale's,BLM - BRIDGEWATER - STORE# 24,24,SF,Bridgewater
Bloomingdale's,OLD ORCHARD #26,26,SF,Old Orchard
Bloomingdale's,BLM - ROOSEVELT FIELD / GARDEN CITY - STORE# 27,27,SF,Roosevelt Field
Bloomingdale's,BLM - CENTURY CITY - STORE# 28,28,SF,Century City CA
Bloomingdale's,BLM - SHERMAN OAKS - STORE# 29,29,SF,Sherman Oaks
Bloomingdale's,BLM - NEWPORT / FASHION ISLAND - STORE# 30,30,SF,Newport Beach Fashion
Bloomingdale's,BEVERLY CENTER,31,SF,Beverly Center
Bloomingdale's,STANFORD,31,SF,Stanford CA
Bloomingdale's,BLM - CHEVY CHASE / WISCONSIN PLACE - STORE# 34,34,SF,Chevy Chase - Wisconsin
Bloomingdale's,BLM - WILLOWBROOK - STORE# 37,37,SF,Willowbrook Place
Bloomingdale's,LENOX ,55,SF,Lenox Square
Bloomingdale's,GLENDALE - #60,60,SF,Glendale Galleria
Bloomingdale's,BLM - SAN DIEGO - STORE# 61,61,SF,San Diego - Fashion Valley
Bloomingdale's,BLM - SOUTH COAST PLAZA - STORE# 62,62,SF,South Coast Plaza
Bloomingdale's,BLM - INTERNET ,123,SF,Bloomingdales.com Fine Jewelry
None,BLM - ALA MOANA - STORE# 58,58,SF,Ala Moana
None,GLENDALE - #60,60,SF,Glendale
None,HOUSTON,634,9999,
Saks Fifth Avenue,HOUSTON,634,9999,
Nordstrom,VALLEY FAIR - #425,425,499,
Nordstrom,OLD ORCHARD - #223,223,299,
Nordstrom,UNIV TOWN CTR - #361,361,399,
Nordstrom,HOUSTON GALLERIA - # 730,730,299,
Nordstrom,DOWNTOWN PORTLAND - # 20,20,89,
Nordstrom,ALA MOANA - #706,706,499,
Nordstrom,DOWNTOWN PORTLAND - # 20,20,89,
Nordstrom,VALLEY FAIR - #425,425,499,
Nordstrom,PENTAGON CITY - #621,621,699,
Nordstrom,SEATTLE - # 1,1,89,
Nordstrom,BELLEVUE - #4,4,89,
Nordstrom,MALL OF AMERICA - # 222,222,299,
Neiman Marcus,0,,,
Neiman Marcus,,,,
Saks Fifth Avenue,Direct - #689,689,185,
Neiman Marcus,,,,
,,,,
Neiman Marcus,,,,
,,,,
Neiman Marcus,,,,
,,,,
Bloomingdale's,0,,,
Bloomingdale's,,,,
,,,,
Bloomingdale's,,,,
,,,,
Bloomingdale's,,,,
,,,,
Bloomingdale's,,,,
,,,,
Bloomingdale's,,,,
,,,,
Bloomingdale's,,,,
Bloomingdale's,,,,
,,,,
Saks Fifth Avenue,0,,,
Saks Fifth Avenue,,,,
,,,,
Saks Fifth Avenue,,,,
,,,,
Bloomingdale's,BLM - ALA MOANA - STORE# 58,58,9999,Ala Moana
Saks Fifth Avenue,BOCA RATON,624,9999,
Bloomingdale's,BOCA RATON,,,
Neiman Marcus Direct,None,08801,0001,
Neiman Marcus Direct,None,08801,0001,
Neiman Marcus Direct,None,08801,0001,
Neiman Marcus Direct,None,08801,0001,
Saks Fifth Avenue,None,0123,0123,
Saks Fifth Avenue,None,0123,0123,
